LatestWorkload: start initializing zipfian variables, might take a while
Latest (epoch 20, progress 4.38%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9443.00 ops/sec, READ throughput 180514.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 189957.86 ops/sec
Latest (epoch 21, progress 4.58%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7837.22 ops/sec, READ throughput 150993.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 158831.12 ops/sec
Latest (epoch 22, progress 4.83%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9905.16 ops/sec, READ throughput 189016.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 198922.09 ops/sec
Latest (epoch 23, progress 5.03%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7932.30 ops/sec, READ throughput 149169.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 157102.18 ops/sec
Latest (epoch 24, progress 5.28%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10155.07 ops/sec, READ throughput 191142.41 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 201297.48 ops/sec
Latest (epoch 25, progress 5.45%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7017.35 ops/sec, READ throughput 132718.79 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 139736.14 ops/sec
Latest (epoch 26, progress 5.71%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10442.98 ops/sec, READ throughput 196135.78 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 206578.76 ops/sec
Latest (epoch 27, progress 5.90%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7661.29 ops/sec, READ throughput 144157.59 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 151818.88 ops/sec
Latest (epoch 28, progress 6.14%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9547.07 ops/sec, READ throughput 178933.64 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 188480.72 ops/sec
Latest (epoch 29, progress 6.33%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7739.30 ops/sec, READ throughput 146573.66 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 154312.96 ops/sec
Latest (epoch 30, progress 6.55%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8847.06 ops/sec, READ throughput 168022.19 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 176869.25 ops/sec
Latest (epoch 31, progress 6.74%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7708.18 ops/sec, READ throughput 146918.28 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 154626.45 ops/sec
Latest (epoch 32, progress 6.97%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9403.77 ops/sec, READ throughput 176040.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 185444.71 ops/sec
Latest (epoch 33, progress 7.18%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8166.12 ops/sec, READ throughput 154164.35 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 162330.47 ops/sec
Latest (epoch 34, progress 7.37%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7795.91 ops/sec, READ throughput 145964.56 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 153760.47 ops/sec
Latest (epoch 35, progress 7.59%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8722.08 ops/sec, READ throughput 164919.68 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 173641.77 ops/sec
Latest (epoch 36, progress 7.81%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8825.06 ops/sec, READ throughput 169825.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 178650.88 ops/sec
Latest (epoch 37, progress 8.07%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10286.50 ops/sec, READ throughput 195941.39 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 206227.89 ops/sec
