Uniform (epoch 20, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 72.99 ops/sec, READ throughput 78.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 151.98 ops/sec
Uniform (epoch 21, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 91.99 ops/sec, READ throughput 93.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 185.98 ops/sec
Uniform (epoch 22, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 85.99 ops/sec, READ throughput 91.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 177.98 ops/sec
Uniform (epoch 23, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 105.98 ops/sec, READ throughput 85.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 191.97 ops/sec
Uniform (epoch 24, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7.00 ops/sec, READ throughput 6.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 13.00 ops/sec
Uniform (epoch 25, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 119.98 ops/sec, READ throughput 97.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 217.97 ops/sec
Uniform (epoch 26, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 140.98 ops/sec, READ throughput 106.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 247.96 ops/sec
Uniform (epoch 27, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 110.98 ops/sec, READ throughput 111.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 222.97 ops/sec
Uniform (epoch 28, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 107.99 ops/sec, READ throughput 95.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 203.97 ops/sec
Uniform (epoch 29, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 93.99 ops/sec, READ throughput 107.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 201.97 ops/sec
Uniform (epoch 30, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 114.98 ops/sec, READ throughput 110.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 225.97 ops/sec
Uniform (epoch 31, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 113.98 ops/sec, READ throughput 110.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 224.97 ops/sec
Uniform (epoch 32, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 133.98 ops/sec, READ throughput 106.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 240.97 ops/sec
Uniform (epoch 33, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 90.99 ops/sec, READ throughput 104.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 195.97 ops/sec
