Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
154.58,B,111.84,111.84,66.390,208.123,56,0,0
155.16,A,0.00,0.00,0.000,0.000,0,0,0
155.66,A,127.82,127.82,97.623,268.216,64,0,0
156.16,A,95.87,95.87,60.880,215.126,48,0,0
156.66,A,95.86,95.86,72.463,239.137,48,0,0
157.16,A,127.82,127.82,72.204,210.457,64,0,0
157.66,A,111.84,111.84,75.647,334.508,56,0,0
158.16,A,127.81,127.81,77.220,191.259,64,0,0
158.66,A,111.84,111.84,60.656,128.573,56,0,0
159.16,A,111.84,111.84,52.552,222.602,56,0,0
159.66,A,159.77,159.77,72.664,290.065,80,0,0
160.24,B,79.90,79.90,50.967,186.014,40,0,0
160.74,B,111.84,111.84,60.741,283.409,56,0,0
161.24,B,95.85,95.85,79.058,282.450,48,0,0
161.74,B,159.77,159.77,55.680,197.248,80,0,0
162.24,B,95.86,95.86,81.846,245.618,48,0,0
162.74,B,127.82,127.82,53.508,175.875,64,0,0
163.24,B,111.84,111.84,71.627,271.703,56,0,0
163.74,B,159.77,159.77,62.447,234.038,80,0,0
164.24,B,143.79,143.79,54.082,365.259,72,0,0
164.75,B,159.76,159.76,53.141,206.435,80,0,0
165.31,A,47.94,47.94,40.752,194.053,24,0,0
165.81,A,127.82,127.82,71.733,299.709,64,0,0
166.31,A,95.87,95.87,73.956,282.161,48,0,0
166.81,A,159.77,159.77,47.699,216.838,80,0,0
167.31,A,127.81,127.81,63.188,308.002,64,0,0
167.81,A,127.82,127.82,71.284,229.608,64,0,0
168.31,A,159.77,159.77,46.234,218.316,80,0,0
168.81,A,143.79,143.79,62.660,322.534,72,0,0
169.31,A,127.82,127.82,57.690,235.846,64,0,0
169.81,A,159.83,159.83,53.113,212.319,80,0,0
170.42,B,95.89,95.89,42.351,257.628,48,0,0
170.92,B,175.76,175.76,53.393,274.819,88,0,0
171.42,B,95.86,95.86,48.628,247.654,48,0,0
171.92,B,175.74,175.74,58.235,274.940,88,0,0
172.43,B,111.84,111.84,50.501,157.838,56,0,0
172.93,B,127.82,127.82,78.208,232.964,64,0,0
173.43,B,143.80,143.80,65.742,287.152,72,0,0
173.93,B,111.84,111.84,63.776,262.502,56,0,0
174.43,B,127.81,127.81,56.720,204.524,64,0,0
174.93,B,159.77,159.77,46.606,207.146,80,0,0
175.52,A,111.87,111.87,43.748,184.932,56,0,0
176.02,A,79.89,79.89,64.183,228.146,40,0,0
176.52,A,127.83,127.83,66.130,197.909,64,0,0
177.02,A,95.87,95.87,85.798,302.863,48,0,0
177.52,A,127.80,127.80,82.363,321.827,64,0,0
178.02,A,95.86,95.86,70.156,224.128,48,0,0
178.52,A,143.80,143.80,54.799,213.764,72,0,0
179.02,A,127.82,127.82,72.433,298.491,64,0,0
179.52,A,143.79,143.79,45.329,291.353,72,0,0
180.02,A,95.86,95.86,57.593,203.138,48,0,0
